Clas_1,Clas_2,Codi_Contaminant,Estacio,Latitud,Longitud,_id,codi_dtes,codi_eoi,district,neighborhood,nom_cabina,ubicacio,zqa
Urbana,Fons,112,57,41.3875,2.1151,Row(oid='6671bf5ded9c201d916140d4'),IZ,8019057,Les Corts,Pedralbes,Barcelona - Palau Reial,c/ John Maynard Keynes - c/ de Jordi Girona,1
Urbana,Fons,110,57,41.3875,2.1151,Row(oid='6671bf5ded9c201d916140d5'),IZ,8019057,Les Corts,Pedralbes,Barcelona - Palau Reial,c/ John Maynard Keynes - c/ de Jordi Girona,1
Urbana,Fons,997,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140d6'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Trànsit,8,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140d7'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Trànsit,997,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140d8'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Fons,12,50,41.3864,2.1874,Row(oid='6671bf5ded9c201d916140d9'),IL,8019050,Ciutat Vella,,Barcelona - Ciutadella,Parc de la Ciutadella,1
Urbana,Fons,14,50,41.3864,2.1874,Row(oid='6671bf5ded9c201d916140da'),IL,8019050,Ciutat Vella,,Barcelona - Ciutadella,Parc de la Ciutadella,1
Urbana,Fons,10,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140db'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Fons,996,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140dc'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Fons,7,50,41.3864,2.1874,Row(oid='6671bf5ded9c201d916140dd'),IL,8019050,Ciutat Vella,,Barcelona - Ciutadella,Parc de la Ciutadella,1
Urbana,Fons,22,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140de'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Trànsit,14,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140df'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Trànsit,996,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140e0'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Trànsit,1,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140e1'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Trànsit,10,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140e2'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Trànsit,6,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140e3'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Fons,1,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140e4'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Fons,8,50,41.3864,2.1874,Row(oid='6671bf5ded9c201d916140e5'),IL,8019050,Ciutat Vella,,Barcelona - Ciutadella,Parc de la Ciutadella,1
Urbana,Fons,999,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140e6'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Fons,6,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140e7'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Fons,8,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140e8'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Trànsit,99,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140e9'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Trànsit,22,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140ea'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Fons,998,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140eb'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Fons,14,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140ec'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Trànsit,7,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140ed'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Trànsit,998,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140ee'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Urbana,Fons,7,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140ef'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Fons,12,54,41.4261,2.1480,Row(oid='6671bf5ded9c201d916140f0'),IN,8019054,Horta-Guinardó,,Barcelona - Vall Hebron,Parc de la Vall d’Hebron. c/ Martí Codolar - c/ Granja Vella,1
Urbana,Trànsit,12,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140f1'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
Suburbana,Fons,12,58,41.41843,2.12390,Row(oid='6671bf5ded9c201d916140f2'),IZ,8019058,Sarrià-Sant Gervasi,,Barcelona - Observatori Fabra,Camí de l'Observatori-s/n,1
Suburbana,Fons,7,58,41.41843,2.12390,Row(oid='6671bf5ded9c201d916140f3'),IZ,8019058,Sarrià-Sant Gervasi,,Barcelona - Observatori Fabra,Camí de l'Observatori-s/n,1
Suburbana,Fons,10,58,41.41843,2.12390,Row(oid='6671bf5ded9c201d916140f4'),IZ,8019058,Sarrià-Sant Gervasi,,Barcelona - Observatori Fabra,Camí de l'Observatori-s/n,1
Suburbana,Fons,8,58,41.41843,2.12390,Row(oid='6671bf5ded9c201d916140f5'),IZ,8019058,Sarrià-Sant Gervasi,,Barcelona - Observatori Fabra,Camí de l'Observatori-s/n,1
Suburbana,Fons,14,58,41.41843,2.12390,Row(oid='6671bf5ded9c201d916140f6'),IZ,8019058,Sarrià-Sant Gervasi,,Barcelona - Observatori Fabra,Camí de l'Observatori-s/n,1
Urbana,Trànsit,9,43,41.3853,2.1538,Row(oid='6671bf5ded9c201d916140f7'),IH,8019043,Eixample,,Barcelona - Eixample,Av. Roma - c/ Comte Urgell,1
