RFD,_id,district,neighborhood,pop,year
180.7,Row(oid='6671bf46ed9c201d9160f25f'),Sarrià-Sant Gervasi,Sarrià,24153,2011
96.1,Row(oid='6671bf46ed9c201d9160f260'),Eixample,Sagrada Família,52000,2011
86.4,Row(oid='6671bf46ed9c201d9160f261'),Sants-Montjuïc,Sants,41666,2011
71.1,Row(oid='6671bf46ed9c201d9160f262'),Horta-Guinardó,Montbau,5191,2011
53.3,Row(oid='6671bf46ed9c201d9160f263'),Nou Barris,Verdun,12396,2011
62.4,Row(oid='6671bf46ed9c201d9160f264'),Horta-Guinardó,El Carmel,32425,2011
84.3,Row(oid='6671bf46ed9c201d9160f265'),Sant Martí,Provençals del Poblenou,19732,2011
61.3,Row(oid='6671bf46ed9c201d9160f266'),Nou Barris,La Prosperitat,26594,2011
106.4,Row(oid='6671bf46ed9c201d9160f267'),Gràcia,Vila de Gràcia,51037,2011
70.8,Row(oid='6671bf46ed9c201d9160f268'),Sants-Montjuïc,La Marina de Port,30290,2011
86.1,Row(oid='6671bf46ed9c201d9160f269'),Ciutat Vella,,22632,2011
165.9,Row(oid='6671bf46ed9c201d9160f26a'),Sarrià-Sant Gervasi,,4355,2011
