address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,topNewDevelopment,url
Avenida del Carrilet,2,es,"Row(subTypology=None, typology='flat')",477,Sants-Montjuïc,True,AW-25196,5,False,False,True,False,False,False,41.3657027,2.1353496,Barcelona,La Bordeta,False,9,sale,,452000.0,4388.0,92642278,flat,Barcelona,4,False,103.0,good,"Row(subtitle='La Bordeta, Barcelona', title='Piso en Avenida del Carrilet')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/05/6a/2b/844684109.jpg,False,https://www.idealista.com/inmueble/92642278/
Calle Viladecans,1,es,"Row(subTypology=None, typology='flat')",385,Sants-Montjuïc,True,3170-1-AFEC1,3,False,False,True,False,False,False,41.3694142,2.1379192,Barcelona,La Bordeta,False,6,sale,,206400.0,3225.0,91921544,flat,Barcelona,2,False,64.0,renew,"Row(subtitle='La Bordeta, Barcelona', title='Piso en Calle Viladecans')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/e1/5a/826514797.jpg,False,https://www.idealista.com/inmueble/91921544/
Calle del Gaià,1,es,"Row(subTypology=None, typology='flat')",435,Sants-Montjuïc,True,Gaia,1,False,False,False,False,False,False,41.3629061,2.1418437,Barcelona,La Marina del Port,False,19,sale,,179000.0,2557.0,92644447,flat,Barcelona,3,False,70.0,good,"Row(subtitle='La Marina del Port, Barcelona', title='Piso en Calle del Gaià')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/89/13/af/844706376.jpg,False,https://www.idealista.com/inmueble/92644447/
Calle mineria,2,es,"Row(subTypology=None, typology='flat')",121,Sants-Montjuïc,True,1843H,en,False,False,True,True,False,False,41.3666383,2.1394518,Barcelona,La Font de la Guatlla,False,19,sale,,300000.0,3226.0,92534962,flat,Barcelona,3,False,93.0,good,"Row(subtitle='La Font de la Guatlla, Barcelona', title='Piso en Calle mineria')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/7d/45/842010150.jpg,False,https://www.idealista.com/inmueble/92534962/
Calle del Moianès,1,es,"Row(subTypology=None, typology='flat')",402,Sants-Montjuïc,False,TONIHMOI,2,False,False,True,False,False,True,41.3702622,2.1421116,Barcelona,Hostafrancs,False,21,sale,,215000.0,3071.0,92490130,flat,Barcelona,3,False,70.0,good,"Row(subtitle='Hostafrancs, Barcelona', title='Piso en Calle del Moianès')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1c/41/0a/840963173.jpg,False,https://www.idealista.com/inmueble/92490130/
