address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,topNewDevelopment,url
mare de deu de port,1,es,"Row(subTypology=None, typology='flat')",2492,Sants-Montjuïc,True,AC-RES-988-142-20,2,False,False,False,False,False,True,41.3562466,2.1433531,Barcelona,La Marina del Port,False,,17,sale,,154000.0,2369.0,91897706,flat,Barcelona,3,False,65.0,good,"Row(subtitle='La Marina del Port, Barcelona', title='Piso en mare de deu de port')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/47/ec/13/825934840.jpg,False,https://www.idealista.com/inmueble/91897706/
Paseo de la Zona Franca,1,es,"Row(subTypology=None, typology='flat')",2681,Sants-Montjuïc,True,,5,False,False,True,False,False,True,41.3575067,2.1417629,Barcelona,La Marina del Port,False,,31,sale,,200000.0,2817.0,91762684,flat,Barcelona,3,False,71.0,good,"Row(subtitle='La Marina del Port, Barcelona', title='Piso en Paseo de la Zona Franca')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/da/5f/822680293.jpg,False,https://www.idealista.com/inmueble/91762684/
"Calle del Foc, 30",2,es,"Row(subTypology=None, typology='flat')",2605,Sants-Montjuïc,True,a1S1t000005mL0KEAU.x,1,False,False,True,True,False,False,41.3541007,2.1372753,Barcelona,La Marina del Prat Vermell,True,False,12,sale,,502000.0,4254.0,89930867,flat,Barcelona,4,True,118.0,newdevelopment,"Row(subtitle='La Marina del Prat Vermell, Barcelona', title='Piso en Calle del Foc, 30')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/88/1f/786126263.jpg,False,https://www.idealista.com/obra-nueva/89930867/
Plaza del Mig de Can Clos,1,es,"Row(subTypology=None, typology='flat')",2923,Sants-Montjuïc,True,0110-656-831-V,3,False,False,True,True,False,True,41.361351,2.1455091,Barcelona,La Marina del Port,False,,23,sale,,205000.0,2204.0,92814911,flat,Barcelona,3,False,93.0,good,"Row(subtitle='La Marina del Port, Barcelona', title='Piso en Plaza del Mig de Can Clos')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a8/e8/b4/848788645.jpg,False,https://www.idealista.com/inmueble/92814911/
Calle de Francesc Boix Campo,2,es,"Row(subTypology=None, typology='flat')",3144,Sants-Montjuïc,True,V-FRA3,3,False,False,True,True,False,False,41.3600315,2.1367773,Barcelona,La Marina del Port,False,,32,sale,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True, parkingSpacePrice=None)",420000.0,3559.0,90313533,flat,Barcelona,4,False,118.0,good,"Row(subtitle='La Marina del Port, Barcelona', title='Piso en Calle de Francesc Boix Campo')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/a2/62/787887071.jpg,False,https://www.idealista.com/inmueble/90313533/
