address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,topNewDevelopment,url
barrio Vila de Gràcia,1,es,"Row(subTypology=None, typology='flat')",225,Gràcia,True,VB2103013,1,False,False,False,True,False,True,41.4019072,2.1592846,Barcelona,Vila de Gràcia,False,39,sale,,395000.0,5197.0,93181159,flat,Barcelona,2,False,76.0,good,"Row(subtitle='Vila de Gràcia, Barcelona', title='Piso')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/be/ac/0a/856337956.jpg,False,https://www.idealista.com/inmueble/93181159/
Calle de Roger de Flor,1,es,"Row(subTypology=None, typology='flat')",549,Gràcia,True,FG253-23,2,False,False,True,True,False,False,41.4035991,2.1674991,Barcelona,El Camp d'En Grassot i Gràcia Nova,False,20,sale,,275000.0,4365.0,92625229,flat,Barcelona,2,False,63.0,good,"Row(subtitle=""El Camp d'En Grassot i Gràcia Nova, Barcelona"", title='Piso en Calle de Roger de Flor')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/6b/89/844230534.jpg,False,https://www.idealista.com/inmueble/92625229/
Calle de Provença,2,es,"Row(subTypology=None, typology='flat')",658,Eixample,True,VB2006003-5,4,False,False,True,True,False,True,41.3990905,2.1691948,Barcelona,La Dreta de l'Eixample,False,32,sale,,1095000.0,5316.0,91700388,flat,Barcelona,5,False,206.0,good,"Row(subtitle=""La Dreta de l'Eixample, Barcelona"", title='Piso en Calle de Provença')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c0/a7/5c/821138875.jpg,False,https://www.idealista.com/inmueble/91700388/
Paseo de Gràcia,2,es,"Row(subTypology=None, typology='flat')",564,Eixample,True,1752,2,False,False,True,True,False,False,41.396241,2.1599987,Barcelona,La Dreta de l'Eixample,False,27,sale,,1650000.0,7783.0,84758673,flat,Barcelona,7,False,212.0,renew,"Row(subtitle=""La Dreta de l'Eixample, Barcelona"", title='Piso en Paseo de Gràcia')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/b1/9c/754572145.jpg,False,https://www.idealista.com/inmueble/84758673/
barrio La Dreta de l'Eixample,4,es,"Row(subTypology='penthouse', typology='flat')",621,Eixample,False,W-02KD38,,False,False,True,True,False,False,41.3959627,2.1589645,Barcelona,La Dreta de l'Eixample,False,38,sale,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True, parkingSpacePrice=None)",12000000.0,17143.0,92232387,penthouse,Barcelona,4,False,700.0,good,"Row(subtitle=""La Dreta de l'Eixample, Barcelona"", title='Ático')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ae/e9/4f/834314797.jpg,False,https://www.idealista.com/inmueble/92232387/
