address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,topNewDevelopment,url
Calle del Comandant Benítez,1,es,"Row(subTypology=None, typology='flat')",814,Les Corts,True,CB_BCN_0381_V,1,False,False,True,True,False,True,41.3810855,2.12744,Barcelona,La Maternitat i Sant Ramon,False,15,sale,,275000.0,3438.0,91894276,flat,Barcelona,4,False,80.0,good,"Row(subtitle='La Maternitat i Sant Ramon, Barcelona', title='Piso en Calle del Comandant Benítez')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/f8/ae/825839974.jpg,False,https://www.idealista.com/inmueble/91894276/
"CARDENAL REIG, 31",2,es,"Row(subTypology=None, typology='flat')",858,Les Corts,True,CARDENAL REIG / COLL,bj,False,False,True,False,False,True,41.3781439,2.1153391,Barcelona,La Maternitat i Sant Ramon,False,27,sale,,298000.0,3725.0,93104835,flat,Barcelona,3,True,80.0,good,"Row(subtitle='La Maternitat i Sant Ramon, Barcelona', title='Piso en CARDENAL REIG, 31')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4b/d7/51/854610679.jpg,False,https://www.idealista.com/inmueble/93104835/
barrio La Maternitat i Sant Ramon,2,es,"Row(subTypology=None, typology='flat')",812,Les Corts,False,W-02D6M9,3,False,False,True,True,False,False,41.3780895,2.1173664,Barcelona,La Maternitat i Sant Ramon,False,26,sale,,399000.0,3410.0,91561354,flat,Barcelona,3,False,117.0,good,"Row(subtitle='La Maternitat i Sant Ramon, Barcelona', title='Piso')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/cb/e4/817510035.jpg,False,https://www.idealista.com/inmueble/91561354/
Capitan Arenas,1,es,"Row(subTypology='penthouse', typology='flat')",845,Les Corts,True,,10,False,False,True,True,False,True,41.3921229,2.1237052,Barcelona,Pedralbes,False,23,sale,,425000.0,7203.0,93183503,penthouse,Barcelona,1,False,59.0,renew,"Row(subtitle='Pedralbes, Barcelona', title='Ático en Capitan Arenas')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/8a/59/856405563.jpg,False,https://www.idealista.com/inmueble/93183503/
"Avenida de Pedralbes, 48",6,es,"Row(subTypology='duplex', typology='flat')",854,Les Corts,True,,5,False,True,True,True,False,True,41.3925064,2.116072,Barcelona,Pedralbes,False,53,sale,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True, parkingSpacePrice=None)",2500000.0,5593.0,92894983,duplex,Barcelona,8,True,447.0,renew,"Row(subtitle='Pedralbes, Barcelona', title='Dúplex en Avenida de Pedralbes, 48')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/f2/ed/850754760.jpg,False,https://www.idealista.com/inmueble/92894983/
