address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,topNewDevelopment,url
barrio Pedralbes,3,es,"Row(subTypology=None, typology='flat')",3026,Les Corts,True,BCN26821,,True,False,True,True,False,False,41.3901975,2.1227699,Barcelona,Pedralbes,False,32,sale,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True, parkingSpacePrice=None)",1150000.0,6461.0,92446224,flat,Barcelona,4,False,178.0,renew,"Row(subtitle='Pedralbes, Barcelona', title='Piso')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/68/88/839831002.jpg,False,https://www.idealista.com/inmueble/92446224/
barrio Sant Gervasi - Galvany,2,es,"Row(subTypology=None, typology='flat')",2110,Sarrià-Sant Gervasi,True,BCN06050,1,False,False,True,True,False,True,41.4022562,2.1487284,Barcelona,Sant Gervasi - Galvany,False,31,sale,,1395000.0,7750.0,92416036,flat,Barcelona,3,False,180.0,good,"Row(subtitle='Sant Gervasi - Galvany, Barcelona', title='Piso')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/03/79/839179772.jpg,False,https://www.idealista.com/inmueble/92416036/
barrio El Camp d'En Grassot i Gràcia Nova,2,es,"Row(subTypology=None, typology='flat')",2543,Gràcia,False,W-02IFY9,5,False,True,True,True,False,False,41.4115467,2.1617976,Barcelona,El Camp d'En Grassot i Gràcia Nova,False,41,sale,,495000.0,3929.0,89706442,flat,Barcelona,4,False,126.0,good,"Row(subtitle=""El Camp d'En Grassot i Gràcia Nova, Barcelona"", title='Piso')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/de/e1/774571617.jpg,False,https://www.idealista.com/inmueble/89706442/
barrio Sant Gervasi - Galvany,3,es,"Row(subTypology='penthouse', typology='flat')",1552,Sarrià-Sant Gervasi,True,BCN15755,,False,True,True,False,False,False,41.4043581,2.1412002,Barcelona,Sant Gervasi - Galvany,False,26,sale,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True, parkingSpacePrice=None)",1700000.0,5380.0,88869912,penthouse,Barcelona,6,False,316.0,good,"Row(subtitle='Sant Gervasi - Galvany, Barcelona', title='Ático')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/65/cd/4f/757476750.jpg,False,https://www.idealista.com/inmueble/88869912/
barrio La Font d'En Fargues,2,es,"Row(subTypology='terracedHouse', typology='chalet')",2544,Horta Guinardó,False,W-02G8L6,1,False,True,,True,False,False,41.4267344,2.1593383,Barcelona,La Font d'En Fargues,False,30,sale,,299000.0,1718.0,89292464,chalet,Barcelona,6,False,174.0,renew,"Row(subtitle=""La Font d'En Fargues, Barcelona"", title='Chalet adosado')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/14/5f/30/768214827.jpg,False,https://www.idealista.com/inmueble/89292464/
