address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,topNewDevelopment,url
"Avenida de Pedralbes, 48",6,es,"Row(subTypology='duplex', typology='flat')",3125,Les Corts,True,,5,False,True,True,True,False,True,41.3925064,2.116072,Barcelona,Pedralbes,False,53,sale,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",2500000.0,5593.0,92894983,duplex,Barcelona,8,True,447.0,renew,"Row(subtitle='Pedralbes, Barcelona', title='Dúplex en Avenida de Pedralbes, 48')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/f2/ed/850754760.jpg,False,https://www.idealista.com/inmueble/92894983/
paissos catalans,2,es,"Row(subTypology=None, typology='flat')",1988,Centre,True,960AR196A,2,False,False,True,False,False,True,41.3788065,2.0810444,Sant Just Desvern,,False,30,sale,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",479000.0,3350.0,88686072,flat,Barcelona,4,False,143.0,good,"Row(subtitle='Centre, Sant Just Desvern', title='Piso en paissos catalans')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9e/c0/4a/752829453.jpg,False,https://www.idealista.com/inmueble/88686072/
barrio Pedralbes,4,es,"Row(subTypology=None, typology='flat')",2960,Les Corts,True,BCN23253,,False,False,True,False,False,False,41.3942535,2.1143584,Barcelona,Pedralbes,False,32,sale,,1850000.0,7906.0,89015276,flat,Barcelona,5,False,234.0,renew,"Row(subtitle='Pedralbes, Barcelona', title='Piso')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d9/3c/ff/761056931.jpg,False,https://www.idealista.com/inmueble/89015276/
La Miranda - Can Candeler,4,es,"Row(subTypology='independantHouse', typology='chalet')",888,La Miranda - Can Candeler,False,W-02JZQW,,False,False,,False,False,False,41.389146,2.0827594,Sant Just Desvern,,False,27,sale,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",1300000.0,2790.0,93157259,chalet,Barcelona,4,False,466.0,good,"Row(subtitle='La Miranda - Can Candeler, Sant Just Desvern', title='Casa independiente')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/a0/cb/855734281.jpg,False,https://www.idealista.com/inmueble/93157259/
La Miranda - Ciutat Diagonal,5,es,"Row(subTypology=None, typology='chalet')",1102,La Miranda - Ciutat Diagonal,False,BCN15936,,False,False,,True,False,False,41.3877974,2.0850112,Esplugues de Llobregat,,False,35,sale,"Row(hasParkingSpace=True, isParkingSpaceIncludedInPrice=True)",1950000.0,4987.0,85198866,chalet,Barcelona,4,False,391.0,good,"Row(subtitle='La Miranda - Ciutat Diagonal, Esplugues de Llobregat', title='Chalet')",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cf/81/02/656815866.jpg,False,https://www.idealista.com/inmueble/85198866/
